"license group","license detail","info"
"Apache1","Apache Software License, version 1.1",""
"ASL","The Apache Software License, Version 2.0",""
"ASL","The Apache License, Version 2.0",""
"ASL","Apache Software License - Version 2.0",""
"ASL","Apache License Version 2.0",""
"ASL","Apache License, Version 2.0",""
"ASL","Apache License, Version 2.0, January 2004",""
"ASL","Apache License, version 2.0",""
"ASL","Apache Public License 2.0",""
"ASL","Apache License 2.0",""
"ASL","Apache Software Licenses",""
"ASL","Apache 2.0",""
"ASL","Apache 2.0 License",""
"ASL","Apache-2.0",""
"ASL","Apache 2",""
"ASL","Apache2","http://www.apache.org/licenses/LICENSE-2.0.html"
"ASL","Apache",""
"ASL","ASF 2.0",""
"ASL","Apache License, ASL Version 2.0",""
"ASL","Apache Software License, version 2.0",""
"ASL","the Apache License, ASL Version 2.0",""
"CPL","Common Public License - v 1.0",""
"CPL","Common Public License Version 1.0",""
"EPL","Eclipse Public License 1.0",""
"EPL","Eclipse Public License v1.0",""
"EPL","Eclipse Public License - Version 1.0",""
"EPL","Eclipse Public License - v 1.0",""
"EPL","Eclipse Public License (EPL), Version 1.0",""
"EPL","Eclipse Distribution License (EDL), Version 1.0",""
"EPL","Eclipse Public License, Version 1.0",""
"EPL","Eclipse Public License v2.0",""
"EPLMPL","MPL 2.0 or EPL 1.0",""
"H2","The H2 License, Version 1.0","http://h2database.com/html/license.html"
"ISC","ISC","https://opensource.org/licenses/ISC"
"ISC","ISC License",""
"LGPL","GNU Lesser General Public Licence",""
"LGPL","lgpl",""
"LGPL","GNU LESSER GENERAL PUBLIC LICENSE",""
"LGPL","GNU Lesser Public License",""
"LGPL","GNU Lesser General Public License",""
"LGPL2","LGPL, version 2.1",""
"LGPL2","GNU Lesser General Public License, version 2.1",""
"LGPL2","GNU Lesser General Public License Version 2.1",""
"MIT","MIT",""
"MIT","MIT License",""
"MIT","MIT license",""
"MIT","The MIT License",""
"MIT","The MIT license",""
"MIT","The MIT License (MIT)",""
"MIT","Bouncy Castle Licence","https://www.bouncycastle.org/licence.html"
"BSD","BSD",""
"BSD","BSD-style",""
"BSD","BSD style",""
"BSD2","BSD2",""
"BSD","BSD3",""
"BSD","New BSD License",""
"BSD","BSD style license",""
"BSD","BSD License",""
"BSD","New BSD license",""
"BSD","The New BSD License",""
"BSD","The BSD License",""
"BSD2","BSD-2-Clause",""
"BSD2","2-clause BSD license",""
"BSD","BSD Simplified","http://opensource.org/licenses/BSD-SIMPLIFIED"
"BSD2","Two-clause BSD-style license",""
"BSD","BSD 3-Clause",""
"BSD","BSD 3-clause",""
"BSD","BSD-3-Clause",""
"BSD","3-Clause BSD License",""
"BSD","BSD 3-Clause License",""
"BSD","BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",""
"BSD","Revised BSD",""
"BSD3","Eclipse Distribution License (New BSD License)","BSD style 3 clause"
"BSD3","Three-clause BSD-style",""
"BSD3","BSD Licence 3","http://opensource.org/licenses/BSD-3-Clause"
"BSD3","BSD New license","http://opensource.org/licenses/BSD-3-Clause"
"JTidy","Java HTML Tidy License","JTidy BSD 3 clause style license"
"PD","Public domain (CC0-1.0)",""
"PD","Public Domain",""
"Postgres","The PostgreSQL License",""
"Unknown","The JSON License",""
"CCDL","CDDL 1.1",""
"CCDL","CDDL + GPLv2 with classpath exception","Linking only files cannot be edited"
"CCDL","GPL2 w/ CPE","Linking only files cannot be edited"
"CCDL","CDDL v1.1 / GPL v2 dual license","Linking only files cannot be edited"
"CCDL","CDDL/GPLv2 dual license","Linking only files cannot be edited"
"CCDL","CDDL or GPL 2 with Classpath Exception","Linking only files cannot be edited"
"CDDL","NetBeans CDDL/GP","Linking only files cannot be edited"
"CDDL","GNU General Public License, version 2 (GPL2), with the classpath exception",""
"CCDL","CDDL+GPL License","Linking only files cannot be edited"
"CCDL","GPLv2+CE",""
"CCDL","Dual license consisting of the CDDL v1.1 and GPL v2",""
"CCDL","Common Development and Distribution License",""
"CCDL","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0",""
"CCDL","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE",""
"CCDL","Dual license consisting of the CDDL v1.1 and GPL v2",""
"CCDL","Common Development and Distribution License (CDDL) v1.0",""
"GPL+Classpath Exception","GNU General Public License (GPL), version 2, with the Classpath exception",""
"MPL","MPL",""
"MPL","Mozilla Public License, Version 2.0",""
"MPL","Mozilla Public License, version 2.0",""
"MPL","Mozilla Public License 1.1 (MPL 1.1)",""
"MPL","MPL 1.1",""
"CC0","CC0",""
"CC1","CC0 1.0 Universal",""
"CC1","CC0 1.0 Universal License",""
