"**Daml Model
Change**",**Scope**,"**Covered
by SCU?**",**Comments**
Rename of Module,Template Definition,No,
Rename of Template,Template Definition,No,
Change of Field Type,Template Definition,No,
Change of Field Ordering,Template Definition,No,
Change of Field Name,Template Definition,No,
Change of Signatories,Template Definition,No,"| A new template version needs to return the same signatory result for a persisted contract, otherwise the contracts cannot be used by an upgraded package (this fails at runtime).
|
| One can change the function that computes the signatories (for example to take into account new fields) when creating contracts."
Change of,Template,No,"| The key's type cannot be changed, like adding a new field in the record it contains.
|
| One can change the function that computes the key in the same way the function computing the signatories can be changed. A persisted contract can be used by an upgrade only if the result of the function does not change."
Change of Observers,Template Definition,No,Same as template signatories
Change of Key Maintainers,Template Definition,No,Same as template signatories
Change of Ensure Predicate,Template Definition,Yes,Note that the Ensure is recalculated just before usage so any changes need to ensure that a V1 contract is still valid as a V2 contract.
"Addition of New Definition Fields, Enum, and Variant Constructors",Template Definition,"Yes, but they they must be optional",
Deletion of Fields from Template,Template Definition,No,
Change of Choice Implementation,Template Definition,Yes,
Change in Choice Controller,Choice,Yes,
Addition of Choice Parameters,Choice,"Yes, but they must be optional",
Deletion of Choice Parameters,Choice,No,
"Change of Consuming Choice to Non-Consuming Choice, or Vice-versa",Choice,No,
Change of Choice Body,Choice,Yes,
Change of Choice Return Type,Choice,"Yes, except for Tuple or scalar types","| You can change a user data type (Record, Variant, Enum) contained in the return type. In this case you can add a field to the record or a new case to the Variant/Enum.
|
| In particular: you cannot change a collection, Optional, List, or Map; you can change Tuple, (to a triple) if you define your own type."
Change of Interface Definition,Interface Definition,No,Interfaces are static and cannot be changed. Separate interface definition and keep the implementation in the template code.
Addition of Interface Implementations (Retroactive Interfaces),Interface Definition,No,
Adding or Removing Interfaces from Templates,Template Definition,No,Interfaces cannot be changed.
Change or Deletion of Exception,Exception Definition,No,Keep the exception definition separate. Exceptions cannot be upgraded.
